,Unnamed: 0,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
964,964,8.0,8.0,,42.3,-71.11579,2.0,1.2,1.3,1.5,29.0,730,29.0,29.0,730.0,730.0,29.0,730.0,,3,7,8,32.0,4.0,0.0,4.94,4.97,5.0,4.97,4.81,4.88
965,965,8.0,8.0,,42.3,-71.11621,2.0,1.0,1.0,1.0,29.0,730,29.0,29.0,730.0,730.0,29.0,730.0,,21,42,42,37.0,5.0,0.0,4.81,4.81,4.95,4.86,4.51,4.76
966,966,12.0,22.0,,42.364277,-71.068024,4.0,2.0,2.0,2.0,75.0,1125,4.0,75.0,1125.0,1125.0,57.0,1125.0,,23,53,83,10.0,3.0,0.0,4.6,4.8,4.9,5.0,4.9,4.1
967,967,10.0,10.0,,42.32003,-71.07826,1.0,1.0,1.0,1.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,30,60,90,61.0,11.0,0.0,4.49,4.69,4.93,4.77,4.26,4.3
968,968,4.0,5.0,,42.27844,-71.08499,2.0,1.0,1.0,1.0,2.0,28,2.0,2.0,28.0,28.0,2.0,28.0,,0,0,19,66.0,7.0,0.0,4.88,4.92,4.95,4.98,4.41,4.77
969,969,25.0,31.0,,42.30753,-71.06446,2.0,1.2,1.3,1.5,13.6,180,12.7,13.1,1125.0,1125.0,14.5,1125.0,,27,57,87,25.0,0.0,0.0,4.84,4.92,5.0,4.96,4.76,4.8
970,970,1.0,1.0,,42.34121,-71.15163,3.0,1.0,1.0,3.0,2.0,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,,5,28,54,23.0,7.4,2.0,4.85,4.9,4.91,4.9,4.8,4.83
971,971,25.0,31.0,,42.30804,-71.06443,1.0,2.0,1.0,1.0,29.0,180,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,32.0,1.0,0.0,4.72,4.78,4.78,4.91,4.22,4.63
972,972,12.0,22.0,,42.36456,-71.06923,5.0,2.0,2.0,3.0,75.0,730,4.0,75.0,730.0,730.0,57.0,730.0,,0,0,4,6.0,2.0,0.0,5.0,5.0,4.83,5.0,5.0,4.83
973,973,4.0,5.0,,42.27726,-71.08517,2.0,1.2,1.3,1.5,2.0,28,2.0,2.0,28.0,28.0,2.0,28.0,,0,0,19,77.0,4.0,0.0,4.83,4.82,4.88,4.94,4.61,4.77
974,974,25.0,28.0,,42.29726,-71.06236,1.0,2.0,1.0,1.0,29.0,200,29.0,29.0,1125.0,1125.0,29.0,1125.0,,29,59,89,25.0,3.0,0.0,4.72,4.72,4.92,4.96,4.56,4.72
975,975,1.0,1.0,,42.27595,-71.07805,4.0,1.2,2.0,1.5,2.0,7,2.0,2.0,1125.0,1125.0,2.0,1125.0,,0,0,0,125.0,18.0,0.0,4.92,4.9,4.95,4.93,4.82,4.84
976,976,8.0,8.0,,42.3,-71.11788,2.0,1.2,1.3,1.5,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,0,0,0,33.0,0.0,0.0,4.7,4.85,4.88,4.85,4.39,4.7
977,977,8.0,10.0,,42.29151,-71.06811,1.0,1.2,1.3,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,1.0,0.0,0.0,4.8,4.8,4.9,5.0,5.0,5.0
978,978,14.0,15.0,,42.34627,-71.08412,7.0,1.2,3.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,25.0,0.0,0.0,4.84,4.96,4.84,4.8,5.0,4.84
979,979,14.0,15.0,,42.34472,-71.08523,7.0,1.2,3.0,1.5,13.6,1125,12.7,13.1,1125.0,1125.0,14.5,1125.0,,0,0,0,4.0,0.0,0.0,4.75,4.8,5.0,4.75,5.0,5.0
980,980,16.0,18.0,,42.36573,-71.05145,2.0,1.0,0.0,1.0,30.0,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,,29,59,89,0.0,0.0,0.0,4.8,4.8,4.9,4.9,4.8,4.7
981,981,2.0,3.0,,42.320481,-71.090593,1.0,1.5,1.0,1.0,29.0,365,29.0,29.0,365.0,365.0,29.0,365.0,,19,49,79,37.0,4.0,0.0,4.84,4.86,4.95,4.95,4.57,4.81
982,982,35.2,37.8,,42.34992,-71.06943,2.0,1.0,1.0,1.0,32.0,1125,31.0,13.1,1125.0,1125.0,35.6,1125.0,,15,15,15,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
983,983,8.0,9.0,,42.3,-71.11469,1.0,2.0,1.0,1.0,29.0,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,,30,60,90,20.0,1.0,0.0,4.9,4.95,5.0,4.95,4.75,4.85
984,984,1.0,7.0,,42.30288,-71.0833,2.8,1.0,1.3,1.5,13.6,400,12.7,13.1,1125.0,1125.0,14.5,1125.0,,29,59,89,0.0,0.0,0.0,4.8,4.8,4.9,4.9,4.8,4.7
985,985,10.0,10.0,,42.32045,-71.07794,2.0,1.0,1.0,1.0,2.0,365,2.0,2.0,1125.0,1125.0,2.0,1125.0,,30,60,90,69.0,9.0,0.0,4.57,4.83,4.84,4.74,4.8,4.41
